2025-03-09 18:59:20,858:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.76, Whale Moves Mean: 0.76, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 216, Active Whale Moves (>0.2): 1223
2025-03-09 19:05:26,235:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.79, Whale Moves Mean: 0.75, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 217, Active Whale Moves (>0.2): 1222
2025-03-09 19:13:34,255:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.79, Whale Moves Mean: 0.75, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 217, Active Whale Moves (>0.2): 1222
2025-03-09 19:23:21,343:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.79, Whale Moves Mean: 0.75, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 217, Active Whale Moves (>0.2): 1222
2025-03-09 19:37:38,239:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.79, Whale Moves Mean: 0.75, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 217, Active Whale Moves (>0.2): 1222
2025-03-09 19:55:00,629:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.79, Whale Moves Mean: 0.75, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 217, Active Whale Moves (>0.2): 1222
2025-03-10 17:21:06,588:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 53.18, Whale Moves Mean: 0.74, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 239, Active Whale Moves (>0.2): 1200
2025-03-10 17:51:33,985:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 53.18, Whale Moves Mean: 0.74, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 239, Active Whale Moves (>0.2): 1200
2025-03-10 18:07:14,294:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 53.19, Whale Moves Mean: 0.74, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 240, Active Whale Moves (>0.2): 1199
2025-03-11 21:00:04,916:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
